column,key,value
STRATUM,35209,ISL: South
STRATUM,37601,ISR: Stratum 01
STRATUM,37602,ISR: Stratum 02
STRATUM,37603,ISR: Stratum 03
STRATUM,37604,ISR: Stratum 04
STRATUM,37605,ISR: Stratum 05
STRATUM,37606,ISR: Stratum 06
STRATUM,37607,ISR: Stratum 07
STRATUM,37608,ISR: Stratum 08
STRATUM,37609,ISR: Stratum 09
STRATUM,38001,ITA: Region 08 - Licei - large schools + moderately small 
STRATUM,38002,ITA: Region 08 - Tecnici - large schools + moderately small 
STRATUM,38003,ITA: Region 08 - Professionali - large schools + moderately small
STRATUM,38004,ITA: Region 08 - Medie - large schools + moderately small 
STRATUM,38005,ITA: Region 07 - Licei - large schools 
STRATUM,38006,ITA: Region 07 - Tecnici - large schools 
STRATUM,38007,ITA: Region 07 - Professionali - large schools 
STRATUM,38009,ITA: Region 07 - Formazione professionale - large schools 
STRATUM,38010,ITA: Region 06 - Licei - large schools 
STRATUM,38011,ITA: Region 06 - Tecnici - large schools 
STRATUM,38012,ITA: Region 06 - Professionali - large schools 
STRATUM,38014,ITA: Region 06 - Formazione professionale - census 
STRATUM,38015,ITA: Region 99 - Licei - large schools 
STRATUM,38016,ITA: Region 99 - Tecnici - large schools 
STRATUM,38017,ITA: Region 99 - Professionali - large schools 
STRATUM,38019,ITA: Region 13 - Licei - large schools 
STRATUM,38020,ITA: Region 13 - Tecnici - large schools 
STRATUM,38021,ITA: Region 13 - Professionali - large schools 
STRATUM,38023,ITA: Region 13 - Formazione professionale - large schools 
STRATUM,38024,ITA: Region 12 - Licei - large schools 
STRATUM,38025,ITA: Region 12 - Tecnici - large schools + moderately small 
STRATUM,38026,ITA: Region 12 - Professionali - large schools + moderately small 
STRATUM,38028,ITA: Region 12 - Formazione professionale - census 
STRATUM,38029,ITA: Region 01 - Licei - census 
STRATUM,38030,ITA: Region 01 - Tecnici - census 
STRATUM,38031,ITA: Region 01 - Professionali - census 
STRATUM,38032,ITA: Region 01 - Medie - all schools 
